,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,season
34,E0,09/09/01,Charlton,Fulham,1,1,D,1,1,D,20451.0,J. T. Winter,7,16,4,5,0,0,5,6,22,12,0,2,2,1,0,0,20,10,,,,2.3,2.9,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,0102
35,E0,09/09/01,Tottenham,Southampton,2,0,H,0,0,D,33668.0,A. G. Wiley,18,15,6,6,1,0,3,3,15,16,3,4,0,0,0,0,0,0,,,,1.65,3.2,3.9,1.8,2.87,4.5,1.67,3.25,4.75,1.62,3.6,4.5,1.57,3.3,5.5,0102
36,E0,15/09/01,Bolton,Southampton,0,1,A,0,0,D,24378.0,D. Pugh,4,10,0,6,2,0,3,2,11,19,4,4,1,1,0,0,10,10,,,,1.85,3.0,3.3,1.91,3.25,3.4,1.8,3.25,4.0,1.73,3.5,4.0,1.8,3.3,3.75,0102
37,E0,15/09/01,Derby,Leicester,2,3,A,1,1,D,26863.0,G. P. Barber,15,12,9,6,0,1,8,8,16,23,1,1,5,3,0,0,50,30,,,,1.8,3.0,3.5,1.91,3.2,3.5,1.91,3.25,3.5,1.83,3.4,3.6,1.83,3.3,3.6,0102
38,E0,15/09/01,Everton,Liverpool,1,3,A,1,2,A,39554.0,P.A. Durkin,11,13,5,9,0,0,4,2,16,13,0,2,0,1,0,0,0,10,,,,2.7,2.9,2.2,2.8,3.2,2.2,2.88,3.25,2.2,2.75,3.25,2.25,3.0,3.2,2.1,0102
39,E0,15/09/01,Fulham,Arsenal,1,3,A,0,1,A,20805.0,A.G. Wiley,6,11,3,6,0,0,4,5,18,20,3,0,3,4,0,0,30,40,,,,2.7,2.9,2.2,2.75,3.2,2.25,2.88,3.1,2.25,2.8,3.25,2.2,2.87,3.1,2.2,0102
40,E0,15/09/01,Middlesbrough,West Ham,2,0,H,2,0,H,25445.0,M. A. Riley,13,5,5,1,0,0,8,1,16,23,2,3,2,3,0,1,20,55,,,,2.1,2.9,2.9,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.4,2.62,2.2,3.1,2.87,0102
41,E0,15/09/01,Newcastle,Man United,4,3,H,2,1,H,52056.0,S. G. Bennett,15,10,8,7,0,0,8,5,17,16,3,4,2,1,0,1,20,35,,,,2.9,3.0,2.0,4.0,3.2,1.8,3.5,3.25,1.91,3.25,3.25,2.0,3.4,3.25,1.9,0102
42,E0,16/09/01,Aston Villa,Sunderland,0,0,D,0,0,D,31688.0,U. D. Rennie,8,4,3,2,0,0,10,3,20,25,1,3,0,4,0,0,0,40,,,,1.75,3.1,3.6,1.91,3.2,3.5,1.85,3.2,3.8,1.83,3.4,3.6,1.8,3.1,4.0,0102
43,E0,16/09/01,Charlton,Leeds,0,2,A,0,1,A,20451.0,M. R. Halsey,9,20,4,9,0,1,8,9,13,14,2,1,2,1,1,0,45,10,,,,2.9,2.9,2.1,3.0,3.2,2.1,3.1,3.25,2.05,3.4,3.4,1.91,3.5,3.2,1.9,0102
